"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2024","139,500.0","138,900.0","140,000.0","132,000.0","1.45M","10.89%"
"11/27/2024","125,800.0","135,200.0","139,600.0","125,800.0","9.81M","-6.95%"
"11/26/2024","135,200.0","133,400.0","135,900.0","133,300.0","4.50M","0.97%"
"11/25/2024","133,900.0","134,000.0","134,000.0","133,200.0","6.64M","0.00%"
"11/22/2024","133,900.0","132,900.0","134,400.0","132,500.0","5.58M","0.68%"
"11/21/2024","133,000.0","132,400.0","133,000.0","131,000.0","4.33M","0.45%"
"11/20/2024","132,400.0","130,000.0","132,400.0","126,700.0","9.62M","1.85%"
"11/19/2024","130,000.0","133,500.0","133,600.0","129,900.0","9.15M","-2.99%"
"11/18/2024","134,000.0","134,000.0","134,600.0","132,500.0","3.99M","0.07%"
"11/15/2024","133,900.0","135,300.0","135,700.0","132,600.0","6.56M","-1.54%"
"11/14/2024","136,000.0","137,900.0","139,900.0","136,000.0","4.91M","-1.31%"
"11/13/2024","137,800.0","136,700.0","138,100.0","136,100.0","3.63M","0.73%"
"11/12/2024","136,800.0","138,600.0","138,900.0","135,900.0","2.96M","-1.08%"
"11/11/2024","138,300.0","136,500.0","139,500.0","136,000.0","5.29M","1.84%"
"11/08/2024","135,800.0","136,100.0","136,800.0","135,100.0","2.11M","0.52%"
"11/07/2024","135,100.0","135,300.0","137,600.0","134,200.0","4.53M","0.37%"
"11/06/2024","134,600.0","133,100.0","134,600.0","133,000.0","1.80M","1.51%"
"11/05/2024","132,600.0","133,000.0","134,000.0","132,300.0","2.74M","-0.15%"
"11/04/2024","132,800.0","134,600.0","134,600.0","132,700.0","3.76M","-1.34%"
"11/01/2024","134,600.0","135,000.0","135,000.0","133,600.0","2.67M","-0.96%"
"10/31/2024","135,900.0","135,900.0","136,000.0","135,300.0","1.34M","0.00%"
"10/30/2024","135,900.0","135,400.0","135,900.0","135,200.0","2.06M","0.37%"
"10/29/2024","135,400.0","135,400.0","135,500.0","134,800.0","2.65M","0.37%"
"10/28/2024","134,900.0","134,100.0","135,000.0","133,600.0","1.51M","0.67%"
"10/25/2024","134,000.0","134,300.0","134,600.0","133,600.0","1.84M","-0.22%"
"10/24/2024","134,300.0","134,200.0","134,300.0","133,800.0","2.28M","0.07%"
"10/23/2024","134,200.0","132,900.0","134,800.0","132,600.0","3.02M","0.83%"
"10/22/2024","133,100.0","135,700.0","135,700.0","133,000.0","6.17M","-1.77%"
"10/21/2024","135,500.0","137,000.0","137,700.0","135,500.0","2.86M","-1.09%"
"10/18/2024","137,000.0","137,400.0","137,800.0","136,600.0","2.17M","0.00%"
"10/17/2024","137,000.0","136,500.0","137,100.0","135,500.0","3.77M","0.51%"
"10/16/2024","136,300.0","136,400.0","137,100.0","136,000.0","2.80M","-0.51%"
"10/15/2024","137,000.0","137,600.0","138,600.0","136,600.0","2.91M","-0.44%"
"10/14/2024","137,600.0","141,100.0","141,300.0","137,100.0","5.64M","-1.43%"
"10/11/2024","139,600.0","142,000.0","142,800.0","139,600.0","3.86M","-1.48%"
"10/10/2024","141,700.0","135,800.0","142,000.0","135,800.0","10.10M","4.65%"
"10/09/2024","135,400.0","134,300.0","135,800.0","134,300.0","2.82M","1.20%"
"10/08/2024","133,800.0","134,100.0","135,100.0","133,600.0","2.11M","-0.22%"
"10/07/2024","134,100.0","134,200.0","134,900.0","133,600.0","1.90M","0.00%"
"10/04/2024","134,100.0","134,300.0","134,800.0","133,500.0","1.47M","0.07%"
"10/03/2024","134,000.0","135,400.0","136,100.0","134,000.0","3.63M","-1.03%"
"10/02/2024","135,400.0","134,600.0","135,900.0","134,600.0","2.37M","-0.37%"
"10/01/2024","135,900.0","134,700.0","136,200.0","134,700.0","6.89M","1.04%"
"09/30/2024","134,500.0","134,200.0","134,500.0","133,000.0","3.28M","0.22%"
"09/27/2024","134,200.0","134,300.0","134,400.0","133,500.0","3.55M","-0.07%"
"09/26/2024","134,300.0","135,000.0","135,000.0","133,900.0","3.08M","-0.37%"
"09/25/2024","134,800.0","134,300.0","134,800.0","133,600.0","4.68M","0.22%"
"09/24/2024","134,500.0","134,000.0","134,700.0","133,700.0","2.76M","0.37%"
"09/23/2024","134,000.0","135,900.0","135,900.0","133,400.0","3.48M","-0.96%"
"09/20/2024","135,300.0","136,300.0","137,000.0","135,000.0","3.72M","0.07%"
"09/19/2024","135,200.0","135,000.0","135,800.0","134,300.0","5.15M","0.45%"
"09/18/2024","134,600.0","133,400.0","135,200.0","132,900.0","5.45M","1.28%"
"09/17/2024","132,900.0","131,200.0","132,900.0","131,200.0","3.62M","1.37%"
"09/16/2024","131,100.0","131,800.0","133,000.0","131,100.0","","-1.43%"
"09/13/2024","133,000.0","132,200.0","133,400.0","132,000.0","3.94M","0.53%"
"09/12/2024","132,300.0","131,000.0","132,500.0","131,000.0","4.37M","1.30%"
"09/11/2024","130,600.0","130,000.0","131,300.0","129,800.0","3.59M","0.46%"
"09/10/2024","130,000.0","131,000.0","131,000.0","129,600.0","4.20M","-0.99%"
"09/09/2024","131,300.0","132,100.0","132,100.0","130,100.0","2.89M","-0.53%"
"09/06/2024","132,000.0","130,600.0","132,900.0","130,000.0","3.82M","1.07%"
"09/05/2024","130,600.0","129,000.0","133,000.0","129,000.0","8.06M","-1.80%"
"09/04/2024","133,000.0","134,800.0","134,800.0","131,500.0","4.54M","-1.34%"
"08/30/2024","134,800.0","130,500.0","134,900.0","130,500.0","3.32M","1.23%"
"08/29/2024","133,160.0","130,600.0","133,800.0","130,500.0","2.09M","-0.06%"
"08/28/2024","133,240.0","132,000.0","134,500.0","132,000.0","2.71M","0.56%"
"08/27/2024","132,500.0","131,500.0","132,600.0","130,400.0","2.34M","0.30%"
"08/26/2024","132,110.0","133,100.0","133,500.0","131,500.0","2.59M","-0.64%"
"08/23/2024","132,960.0","133,200.0","134,000.0","132,400.0","3.06M","-0.76%"
"08/22/2024","133,980.0","125,100.0","134,500.0","125,100.0","3.02M","0.36%"
"08/21/2024","133,500.0","131,500.0","133,900.0","130,600.0","6.12M","1.52%"
"08/20/2024","131,500.0","129,100.0","132,500.0","129,100.0","3.74M","0.87%"
"08/19/2024","130,360.0","130,600.0","131,400.0","130,000.0","2.50M","-0.18%"
"08/16/2024","130,600.0","131,300.0","131,300.0","129,000.0","5.09M","1.48%"
"08/15/2024","128,700.0","129,500.0","130,800.0","128,200.0","2.26M","1.80%"
