"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2024","60,000","60,500","60,600","59,700","1.95M","-0.56%"
"11/27/2024","60,340","58,500","60,900","58,500","4.94M","0.57%"
"11/26/2024","60,000","59,300","60,100","59,000","4.70M","1.69%"
"11/25/2024","59,000","58,800","59,300","58,600","5.86M","0.00%"
"11/22/2024","59,000","58,700","59,400","58,400","5.80M","0.51%"
"11/21/2024","58,700","57,000","58,900","56,500","8.84M","3.35%"
"11/20/2024","56,800","57,200","58,100","56,000","14.12M","-1.22%"
"11/19/2024","57,500","59,000","59,000","57,500","5.93M","-2.38%"
"11/18/2024","58,900","59,900","59,900","57,100","14.90M","-1.67%"
"11/15/2024","59,900","60,800","61,100","59,800","7.84M","-2.28%"
"11/14/2024","61,300","61,500","61,600","60,700","5.67M","-0.97%"
"11/13/2024","61,900","60,800","62,300","60,300","9.42M","1.81%"
"11/12/2024","60,800","63,100","63,200","60,800","12.43M","-3.49%"
"11/11/2024","63,000","64,500","65,000","62,900","9.47M","-3.08%"
"11/08/2024","65,000","65,400","65,400","64,500","7.92M","-0.61%"
"11/07/2024","65,400","65,800","65,800","64,800","5.29M","-0.30%"
"11/06/2024","65,600","65,700","65,700","65,000","7.83M","0.00%"
"11/05/2024","65,600","64,900","65,600","64,800","17.55M","0.77%"
"11/04/2024","65,100","65,900","65,900","64,700","10.26M","-1.36%"
"11/01/2024","66,000","65,900","66,100","65,500","21.50M","-0.75%"
"10/31/2024","66,500","66,000","66,500","65,600","7.43M","0.76%"
"10/30/2024","66,000","66,500","66,500","65,700","9.28M","-0.75%"
"10/29/2024","66,500","65,600","66,500","65,400","10.39M","1.53%"
"10/28/2024","65,500","65,500","65,600","64,900","3.96M","0.00%"
"10/25/2024","65,500","65,400","66,000","65,000","6.03M","0.15%"
"10/24/2024","65,400","65,400","66,000","64,900","4.64M","-0.46%"
"10/23/2024","65,700","66,100","66,300","65,100","7.62M","-0.90%"
"10/22/2024","66,300","66,300","66,800","65,500","10.98M","0.76%"
"10/21/2024","65,800","65,300","66,000","64,900","5.17M","0.15%"
"10/18/2024","65,700","65,900","66,100","65,200","6.37M","-0.15%"
"10/17/2024","65,800","65,800","65,800","65,200","7.04M","0.46%"
"10/16/2024","65,500","64,400","65,700","64,300","15.50M","1.71%"
"10/15/2024","64,400","63,900","64,800","63,700","13.29M","1.26%"
"10/14/2024","63,600","64,900","65,000","63,600","9.07M","-1.40%"
"10/11/2024","64,500","65,000","65,300","63,500","10.19M","-0.77%"
"10/10/2024","65,000","64,500","65,400","64,100","9.48M","1.25%"
"10/09/2024","64,200","65,000","65,300","63,600","21.53M","-1.53%"
"10/08/2024","65,200","66,700","66,700","65,000","12.20M","-1.66%"
"10/07/2024","66,300","66,700","67,100","65,900","6.83M","-0.15%"
"10/04/2024","66,400","66,500","66,800","66,200","5.38M","0.15%"
"10/03/2024","66,300","67,400","67,400","65,800","16.10M","-1.63%"
"10/02/2024","67,400","67,500","67,900","67,000","8.23M","-0.59%"
"10/01/2024","67,800","68,300","68,700","67,800","10.58M","-0.44%"
"09/30/2024","68,100","67,500","68,100","66,900","6.46M","0.89%"
"09/27/2024","67,500","68,600","68,600","66,800","13.74M","-1.17%"
"09/26/2024","68,300","68,800","69,500","68,300","8.12M","-0.58%"
"09/25/2024","68,700","68,500","68,700","68,000","6.88M","0.88%"
"09/24/2024","68,100","67,500","68,800","67,500","8.58M","1.19%"
"09/23/2024","67,300","68,000","68,000","66,800","6.27M","-1.03%"
"09/20/2024","68,000","68,600","68,700","68,000","5.56M","-0.29%"
"09/19/2024","68,200","68,500","68,500","67,700","7.03M","0.00%"
"09/18/2024","68,200","66,900","68,600","66,800","11.63M","2.10%"
