"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2024","64,700.0","64,600.0","65,000.0","64,600.0","477.60K","0.15%"
"11/27/2024","64,600.0","64,400.0","65,000.0","64,400.0","1.59M","-0.31%"
"11/26/2024","64,800.0","64,500.0","65,000.0","64,400.0","1.68M","0.78%"
"11/25/2024","64,300.0","64,300.0","64,600.0","64,200.0","2.45M","0.00%"
"11/22/2024","64,300.0","63,900.0","64,800.0","63,900.0","2.59M","0.63%"
"11/21/2024","63,900.0","63,700.0","64,100.0","63,400.0","2.25M","0.47%"
"11/20/2024","63,600.0","63,000.0","63,800.0","62,900.0","2.82M","0.95%"
"11/19/2024","63,000.0","63,300.0","63,500.0","63,000.0","2.83M","-0.32%"
"11/18/2024","63,200.0","63,700.0","64,200.0","63,200.0","3.80M","-0.78%"
"11/15/2024","63,700.0","64,900.0","64,900.0","63,700.0","3.69M","-2.00%"
"11/14/2024","65,000.0","65,000.0","65,000.0","64,700.0","1.78M","0.00%"
"11/13/2024","65,000.0","65,100.0","65,600.0","64,700.0","2.82M","0.15%"
"11/12/2024","64,900.0","65,200.0","65,700.0","64,800.0","1.73M","-0.46%"
"11/11/2024","65,200.0","65,700.0","65,800.0","64,700.0","2.74M","-0.76%"
"11/08/2024","65,700.0","66,000.0","66,200.0","65,600.0","1.85M","-0.30%"
"11/07/2024","65,900.0","66,000.0","66,200.0","65,600.0","1.15M","0.15%"
"11/06/2024","65,800.0","66,000.0","66,000.0","65,300.0","2.59M","0.46%"
"11/05/2024","65,500.0","65,700.0","66,000.0","65,500.0","1.06M","-0.15%"
"11/04/2024","65,600.0","65,900.0","66,600.0","65,600.0","2.12M","-0.30%"
"11/01/2024","65,800.0","66,100.0","66,300.0","65,600.0","2.18M","-0.45%"
"10/31/2024","66,100.0","66,600.0","66,600.0","65,300.0","5.27M","-0.30%"
"10/30/2024","66,300.0","67,000.0","67,300.0","66,300.0","3.43M","-1.04%"
"10/29/2024","67,000.0","67,300.0","67,300.0","66,800.0","2.03M","-0.30%"
"10/28/2024","67,200.0","67,700.0","68,000.0","66,700.0","2.92M","-1.18%"
"10/25/2024","68,000.0","68,600.0","68,600.0","67,900.0","2.17M","-0.58%"
"10/24/2024","68,400.0","67,300.0","69,000.0","67,300.0","4.37M","1.63%"
"10/23/2024","67,300.0","67,300.0","67,600.0","67,200.0","1.84M","0.00%"
"10/22/2024","67,300.0","67,300.0","67,800.0","67,200.0","2.25M","0.00%"
"10/21/2024","67,300.0","67,400.0","67,900.0","67,200.0","1.86M","-0.15%"
"10/18/2024","67,400.0","67,600.0","68,000.0","67,400.0","1.74M","-0.30%"
"10/17/2024","67,600.0","67,600.0","67,900.0","67,300.0","1.66M","0.15%"
"10/16/2024","67,500.0","66,800.0","68,100.0","66,800.0","2.00M","1.05%"
"10/15/2024","66,800.0","67,200.0","67,400.0","66,700.0","3.47M","-0.60%"
"10/14/2024","67,200.0","68,100.0","68,100.0","67,100.0","3.22M","-0.74%"
"10/11/2024","67,700.0","68,100.0","68,200.0","67,500.0","2.69M","0.00%"
"10/10/2024","67,700.0","68,300.0","68,800.0","67,700.0","3.12M","-0.15%"
"10/09/2024","67,800.0","68,300.0","68,600.0","67,800.0","3.83M","-0.59%"
"10/08/2024","68,200.0","67,200.0","68,200.0","67,200.0","3.18M","1.64%"
"10/07/2024","67,100.0","68,700.0","69,300.0","67,100.0","6.38M","-2.04%"
"10/04/2024","68,500.0","70,500.0","70,500.0","68,400.0","6.75M","-2.56%"
"10/03/2024","70,300.0","70,200.0","70,500.0","69,900.0","2.95M","0.29%"
"10/02/2024","70,100.0","70,200.0","70,200.0","69,600.0","3.28M","0.00%"
